country,_order_value_eur_,_cost_,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
spain,"39,110.97",34315.97,2019-10-27,clothing,"Bashirian, Okuneva and Bechtelar",Emalia Dinse,Perri Aldersley,pc,06-9596696
france,"123,672.70",106036.97,2020-11-13,smartphones,McGlynn-Prosacco,Othello Bowes,Crysta Halls,pc,46-2632808
france,"144,640.80",118345.1,2019-04-11,electronics,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,pc,77-7771177
france,"268,779.03",233676.49,2019-12-27,smartphones,O'Connell-Mitchell,Othello Bowes,Ora Grennan,mobile,13-0624842
sweden,"53,593.86",45629.81,2020-07-12,electronics,Friesen-Rath,Maxie Marrow,Caro Morfield,pc,71-4409662
france,"155,044.02",134268.12,2019-10-25,beauty,West-Cummings,Othello Bowes,Amelina Piscopiello,pc,46-0270404
portugal,"102,495.13",85009.46,2020-08-08,smartphones,"Hermiston, Simonis and Wisoky",Celine Tumasian,Hortense Gerring,tablet,70-7107956
portugal,"294,472.77",255572.92,2019-06-11,smartphones,Gislason-Stanton,Celine Tumasian,Smitty Culverhouse,tablet,84-5310661
sweden,"64,053.77",54733.95,2020-09-01,beauty,Armstrong-Little,Maxie Marrow,Anita Woakes,pc,75-6638402
uk,"24,543.72",19492.62,2019-03-22,clothing,Hessel-Stiedemann,Jessamine Apark,Jay Morefield,pc,53-0615558
portugal,"161,544.06",132579.21,2019-09-12,clothing,Johns and Sons,Celine Tumasian,Smitty Culverhouse,pc,00-2549549
portugal,"50,303.66",41103.12,2020-01-06,appliances,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Smitty Culverhouse,pc,23-1397222
sweden,"124,593.04",109106.13,2020-01-11,appliances,Johns and Sons,Maxie Marrow,Madelon Bront,mobile,00-4698524
sweden,"44,147.92",37163.72,2020-05-18,beauty,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,pc,76-3837496
bulgaria,"42,239.66",37039.96,2019-05-17,smartphones,Johns and Sons,Charil Alpe,Shermy McGready,pc,61-7979087
sweden,"113,763.38",91158.6,2020-04-01,books,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Madelon Bront,pc,52-8377955
portugal,"183,363.60",155033.92,2019-06-24,smartphones,Johns and Sons,Celine Tumasian,Hortense Gerring,pc,87-6162387
france,"85,220.83",73767.15,2019-09-15,beauty,"Shanahan, Schaden and Parker",Othello Bowes,Crysta Halls,tablet,11-8965256
portugal,"87,513.27",72469.74,2020-03-05,books,"Lubowitz, McLaughlin and Erdman",Celine Tumasian,Corene Shirer,mobile,16-9079414
bulgaria,"37,073.91",30274.55,2019-04-26,books,Rath-Schroeder,Charil Alpe,Bernadine Fullagar,tablet,15-9091881
france,"122,139.94",103684.6,2019-11-02,smartphones,Smith Group,Othello Bowes,Ora Grennan,pc,07-3222085
france,"107,586.21",94525.24,2020-06-07,electronics,"Spencer, Rogahn and Muller",Othello Bowes,Amelina Piscopiello,pc,20-3384992
uk,"203,958.16",176444.2,2020-12-02,appliances,Larkin-Collier,Jessamine Apark,Genevra Charrisson,pc,09-3404706
portugal,"55,132.39",47121.65,2019-06-11,clothing,"Dickinson, Hyatt and Berge",Celine Tumasian,Hortense Gerring,pc,97-8712680
ireland,"135,424.06",116275.1,2020-01-15,electronics,"Hamill, Kulas and Roob",Glenine Suttaby,Palm Wetherald,pc,43-4245267
sweden,"167,123.72",132946.92,2019-08-01,smartphones,Hegmann Group,Maxie Marrow,Alyosha Meah,pc,58-8969119
germany,"92,868.37",79068.13,2020-03-30,electronics,"Fisher, Morar and Skiles",Rickard Doogood,Casie MacBain,pc,88-8436664
portugal,"108,689.45",91223.06,2019-11-09,appliances,Walter LLC,Celine Tumasian,Brynn Dempster,mobile,35-6825112
portugal,"79,874.42",68132.88,2020-11-14,outdoors,"Farrell, Swaniawski and Crist",Celine Tumasian,Smitty Culverhouse,pc,24-4511396
germany,"153,011.39",131543.89,2019-09-13,appliances,Johns and Sons,Rickard Doogood,Casie MacBain,pc,99-0564964
portugal,"72,857.41",60442.51,2020-05-10,clothing,Armstrong-Little,Celine Tumasian,Brynn Dempster,pc,47-9920494
france,"102,771.44",83584.01,2019-11-24,accessories,McClure Inc,Othello Bowes,Maighdiln Upcraft,pc,82-9352154
uk,"90,559.16",75318.05,2019-08-26,outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,pc,74-6920956
portugal,"141,796.75",112317.21,2020-09-16,games,Johns and Sons,Celine Tumasian,Corene Shirer,pc,16-8778373
bulgaria,"103,874.10",82112.48,2019-01-14,outdoors,Johns and Sons,Charil Alpe,Shermy McGready,pc,85-4014655
spain,"134,908.19",114388.65,2020-08-18,clothing,Romaguera-Dietrich,Emalia Dinse,Perri Aldersley,pc,25-2355172
portugal,"45,256.74",38975.1,2019-01-14,other,"Spencer, Rogahn and Muller",Celine Tumasian,Smitty Culverhouse,pc,31-7667796
portugal,"131,018.65",107920.06,2020-04-02,clothing,Hane Inc,Celine Tumasian,Brynn Dempster,pc,39-2536155
ireland,"84,877.87",68454.0,2019-12-01,electronics,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,pc,30-8840089
france,"168,197.78",144246.42,2019-01-13,smartphones,Kihn Inc,Othello Bowes,Crysta Halls,pc,93-8309926
uk,"383,996.76",304701.43,2019-12-19,other,Johns and Sons,Jessamine Apark,Winny Agnolo,pc,42-7823733
france,"56,811.14",48221.3,2019-10-07,clothing,"Schowalter, Lesch and Beahan",Othello Bowes,Ora Grennan,pc,03-9337803
portugal,"74,364.46",60145.98,2020-01-21,clothing,Altenwerth-Konopelski,Celine Tumasian,Aurelie Wren,mobile,42-1879788
finland,"235,608.66",201468.96,2020-07-27,games,Hegmann Group,Hube Corey,Wat Bowkley,tablet,42-8394841
sweden,"31,627.37",25662.45,2020-08-27,beauty,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Caro Morfield,mobile,84-5642889
sweden,"57,227.99",46331.78,2019-03-28,appliances,Johns and Sons,Maxie Marrow,Alyosha Meah,pc,92-7234550
portugal,"84,598.68",72391.09,2020-04-28,clothing,"Hamill, Kulas and Roob",Celine Tumasian,Brynn Dempster,pc,98-5721101
sweden,"98,322.98",84872.4,2020-10-09,clothing,Hessel-Stiedemann,Maxie Marrow,Tarrah Castelletti,pc,32-9344186
netherlands,"62,567.58",49916.42,2019-04-21,clothing,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,pc,40-7356336
sweden,"239,423.57",199152.52,2019-12-08,electronics,"Hamill, Kulas and Roob",Maxie Marrow,Madelon Bront,mobile,94-1762263
france,"68,773.03",59082.91,2019-09-30,games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,pc,26-5649751
germany,"102,918.09",87480.38,2019-10-28,smartphones,"Swaniawski, Runolfsson and Green",Rickard Doogood,Casie MacBain,pc,88-5343320
uk,"150,313.19",118927.8,2020-01-23,beauty,Johns and Sons,Jessamine Apark,Jay Morefield,pc,09-6527060
sweden,"144,072.90",123729.81,2019-07-13,beauty,"Fisher, Morar and Skiles",Maxie Marrow,Anita Woakes,pc,85-3431441
sweden,"69,681.43",55529.13,2020-01-25,clothing,Romaguera-Dietrich,Maxie Marrow,Alyosha Meah,pc,78-3301264
sweden,"78,542.59",68010.03,2019-05-26,games,Kihn Inc,Maxie Marrow,Caro Morfield,pc,02-9523107
portugal,"37,582.13",31967.36,2020-05-07,appliances,Hilll-Vandervort,Celine Tumasian,Smitty Culverhouse,mobile,19-9205287
sweden,"88,329.48",73755.12,2020-08-16,clothing,Corwin and Sons,Maxie Marrow,Caro Morfield,mobile,94-1199389
portugal,"249,099.44",215695.2,2020-06-15,other,Johns and Sons,Celine Tumasian,Corene Shirer,pc,88-4621939
uk,"28,328.78",24408.08,2019-02-19,clothing,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,pc,68-9634139
portugal,"162,246.76",142663.58,2019-08-28,games,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,pc,44-5200140
germany,"161,217.16",135696.48,2019-10-20,games,Labadie and Sons,Rickard Doogood,Casie MacBain,pc,98-6247105
france,"37,397.43",30837.92,2020-05-17,games,Hegmann Group,Othello Bowes,Avrit Chanders,pc,24-6566439
uk,"99,064.31",85393.44,2020-07-10,books,Johns and Sons,Jessamine Apark,Winny Agnolo,pc,52-9152387
sweden,"15,817.05",13743.44,2019-03-10,clothing,Kihn Inc,Maxie Marrow,Anita Woakes,pc,26-9787272
portugal,"38,930.16",32837.59,2020-11-18,outdoors,"Spencer, Rogahn and Muller",Celine Tumasian,Brynn Dempster,pc,12-2202467
portugal,"28,859.73",23656.32,2019-01-09,electronics,Larkin-Collier,Celine Tumasian,Corene Shirer,mobile,82-0537890
france,"54,079.04",45031.62,2020-05-29,games,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Avrit Chanders,pc,15-6838362
sweden,"70,596.70",60564.91,2020-02-09,electronics,Hilll-Vandervort,Maxie Marrow,Alyosha Meah,pc,51-0685379
uk,"169,629.55",135347.42,2019-10-23,outdoors,Johns and Sons,Jessamine Apark,Jay Morefield,pc,76-5919033
portugal,"95,387.89",76195.85,2020-05-08,books,Gislason-Stanton,Celine Tumasian,Aurelie Wren,pc,34-7627348
france,"50,585.98",40999.94,2020-08-29,beauty,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Maighdiln Upcraft,tablet,32-1940437
sweden,"103,726.57",90231.74,2020-05-21,clothing,Dibbert Inc,Maxie Marrow,Caro Morfield,mobile,25-9913528
uk,"222,700.23",194951.78,2020-12-12,appliances,Johns and Sons,Jessamine Apark,Genevra Charrisson,mobile,73-3464233
portugal,"143,322.47",114213.68,2020-05-19,books,Johns and Sons,Celine Tumasian,Corene Shirer,pc,04-2863062
uk,"128,227.36",106710.81,2019-06-01,accessories,"Murray, Reichel and Nolan",Jessamine Apark,Jay Morefield,pc,18-7077174
sweden,"127,939.80",112267.17,2019-12-09,clothing,Gislason-Stanton,Maxie Marrow,Alyosha Meah,pc,64-8300193
sweden,"146,540.75",120822.85,2019-04-30,smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Anita Woakes,pc,84-2858993
portugal,"36,321.68",31581.7,2020-10-29,books,Kirlin and Sons,Celine Tumasian,Smitty Culverhouse,pc,72-2647440
spain,"42,814.57",35356.27,2019-02-01,beauty,Wiza and Sons,Emalia Dinse,Perri Aldersley,pc,68-1806238
uk,"169,262.20",141080.04,2020-04-26,beauty,Considine-Fisher,Jessamine Apark,Winny Agnolo,pc,87-0922827
sweden,"114,427.36",93727.45,2020-03-11,other,Tillman and Sons,Maxie Marrow,Madelon Bront,pc,33-8547717
uk,"126,979.62",105113.73,2019-09-26,electronics,Dibbert Inc,Jessamine Apark,Genevra Charrisson,pc,15-5051694
luxembourg,"294,874.74",259106.43,2020-12-15,books,Morissette Group,Ilsa Kob,Jocelyn Laurentino,pc,37-2363680
uk,"173,258.94",143198.51,2019-05-24,clothing,Johns and Sons,Jessamine Apark,Jay Morefield,pc,92-4106004
luxembourg,"158,362.33",133990.37,2020-08-14,books,Hessel-Stiedemann,Ilsa Kob,Jocelyn Laurentino,pc,39-1671087
uk,"50,689.19",43597.77,2020-11-18,clothing,"Swaniawski, Runolfsson and Green",Jessamine Apark,Jay Morefield,pc,77-9240051
ireland,"117,358.02",102664.8,2020-11-02,clothing,Goldner-Dibbert,Glenine Suttaby,Palm Wetherald,pc,79-8966057
sweden,"93,996.68",77171.27,2020-10-10,games,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,mobile,75-0683725
uk,"119,769.22",98234.71,2020-01-11,books,"Bashirian, Okuneva and Bechtelar",Jessamine Apark,Jay Morefield,pc,55-5032186
france,"84,194.21",71885.02,2020-12-26,books,"Zieme, Bailey and Herzog",Othello Bowes,Avrit Chanders,mobile,31-8836719
finland,"205,582.75",166748.17,2020-12-22,beauty,Tromp LLC,Hube Corey,Wat Bowkley,pc,64-4923214
sweden,"159,793.46",139180.1,2019-06-15,smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,tablet,98-2574776
portugal,"104,711.22",90868.4,2020-08-25,clothing,Marquardt-Kuvalis,Celine Tumasian,Corene Shirer,pc,33-0729966
france,"69,126.50",55902.6,2019-12-08,electronics,"Farrell, Swaniawski and Crist",Othello Bowes,Avrit Chanders,pc,07-3201531
sweden,"20,226.11",17408.61,2019-02-23,electronics,Larkin-Collier,Maxie Marrow,Caro Morfield,pc,21-3278349
france,"65,036.81",52361.14,2019-05-30,other,Considine-Fisher,Othello Bowes,Amelina Piscopiello,pc,50-1695443
france,"254,021.98",205605.39,2019-07-03,clothing,McGlynn-Prosacco,Othello Bowes,Maighdiln Upcraft,pc,52-3693331
luxembourg,"160,185.99",130487.51,2020-09-27,accessories,"Zieme, Bailey and Herzog",Ilsa Kob,Jocelyn Laurentino,pc,98-3033030
uk,"81,219.67",70319.99,2020-05-20,clothing,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,pc,34-5793997
portugal,"108,412.76",88594.91,2019-08-03,smartphones,Romaguera-Haley,Celine Tumasian,Corene Shirer,mobile,52-7280101
spain,"42,028.45",36299.97,2020-03-01,other,Hessel-Stiedemann,Emalia Dinse,Perri Aldersley,pc,55-3118263
sweden,"62,272.96",54600.93,2019-02-20,beauty,Romaguera-Haley,Maxie Marrow,Caro Morfield,pc,58-9822844
sweden,"91,350.76",75839.4,2019-02-04,games,Tillman and Sons,Maxie Marrow,Alyosha Meah,pc,51-5324396
uk,"123,272.44",101576.49,2019-01-20,clothing,"Christiansen, Donnelly and Bechtelar",Jessamine Apark,Genevra Charrisson,tablet,99-5465830
luxembourg,"182,852.21",145440.65,2019-12-28,outdoors,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,pc,01-8696189
portugal,"118,321.11",94822.54,2020-11-23,electronics,Tillman and Sons,Celine Tumasian,Aurelie Wren,tablet,20-7636879
uk,"74,295.81",63716.09,2019-04-11,games,"Keeling, Monahan and Pollich",Jessamine Apark,Genevra Charrisson,pc,85-8092784
uk,"152,865.34",121130.5,2020-12-06,clothing,Konopelski LLC,Jessamine Apark,Genevra Charrisson,pc,97-5905883
france,"171,458.64",148877.54,2019-08-16,books,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,pc,74-6473826
uk,"156,177.77",130096.08,2019-12-24,clothing,Johns and Sons,Jessamine Apark,Winny Agnolo,pc,91-0416047
portugal,"116,023.51",96566.37,2020-06-02,smartphones,Tillman and Sons,Celine Tumasian,Smitty Culverhouse,pc,34-0232219
france,"70,657.26",61330.5,2020-09-05,other,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,pc,34-0783331
netherlands,"104,152.15",85696.39,2019-05-06,smartphones,"Swaniawski, Runolfsson and Green",Denice Amberg,Nero Harbisher,mobile,30-8215510
portugal,"84,224.98",68239.08,2019-01-21,appliances,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,mobile,95-3196761
portugal,"172,505.24",139125.48,2020-10-02,accessories,Romaguera-Haley,Celine Tumasian,Brynn Dempster,pc,99-3651863
portugal,"89,830.34",76795.96,2019-04-19,games,Johns and Sons,Celine Tumasian,Aurelie Wren,tablet,94-8641337
netherlands,"353,925.06",287528.72,2020-12-04,clothing,Corwin and Sons,Denice Amberg,Nero Harbisher,pc,36-2694099
france,"141,436.98",114691.25,2019-05-26,outdoors,Walter LLC,Othello Bowes,Maighdiln Upcraft,pc,40-5308505
uk,"178,465.40",156282.15,2020-04-27,accessories,Romaguera-Haley,Jessamine Apark,Winny Agnolo,pc,68-8279682
sweden,"110,092.84",92797.25,2020-06-29,other,"Rowe, Hermiston and Kessler",Maxie Marrow,Anita Woakes,tablet,50-2481520
uk,"154,715.49",126572.74,2020-10-23,electronics,Smith Group,Jessamine Apark,Genevra Charrisson,pc,46-1054213
sweden,"92,877.57",75936.7,2020-04-05,electronics,Wisoky Inc,Maxie Marrow,Madelon Bront,mobile,40-9497268
france,"66,141.13",53435.42,2019-05-26,clothing,Stehr LLC,Othello Bowes,Ora Grennan,pc,54-5107115
germany,"241,782.39",196544.91,2020-06-09,appliances,Johns and Sons,Rickard Doogood,Casie MacBain,pc,15-7053450
portugal,"211,872.69",177930.69,2019-07-23,games,Johns and Sons,Celine Tumasian,Hortense Gerring,mobile,36-2012010
portugal,"170,408.23",143432.61,2020-11-03,clothing,Romaguera-Haley,Celine Tumasian,Aurelie Wren,mobile,61-7521706
sweden,"157,683.41",130624.94,2019-06-08,electronics,Hegmann Group,Maxie Marrow,Alyosha Meah,tablet,17-0893784
portugal,"116,157.89",97166.07,2019-11-14,games,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,pc,23-5766200
france,"56,106.13",45081.27,2020-03-12,electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,pc,24-3140242
sweden,"40,385.45",32591.06,2020-07-15,smartphones,Armstrong-Little,Maxie Marrow,Tarrah Castelletti,pc,81-0573181
uk,"112,491.58",92254.34,2019-10-24,appliances,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,mobile,13-1936536
finland,"200,635.57",172245.64,2019-12-11,clothing,Larkin-Collier,Hube Corey,Wat Bowkley,pc,94-8026718
portugal,"243,176.92",202250.24,2020-07-03,appliances,Gislason-Stanton,Celine Tumasian,Hortense Gerring,pc,81-5976459
portugal,"52,227.07",45124.19,2019-03-14,books,"Farrell, Swaniawski and Crist",Celine Tumasian,Corene Shirer,pc,28-6038070
bulgaria,"147,672.87",129110.39,2019-10-15,electronics,Homenick-Marvin,Charil Alpe,Bernadine Fullagar,pc,81-7970957
france,"149,500.61",125401.11,2020-07-24,games,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,pc,60-8646184
france,"53,089.52",44812.86,2019-08-24,beauty,Goldner-Dibbert,Othello Bowes,Crysta Halls,pc,32-2114915
france,"85,223.07",73002.08,2019-09-15,beauty,"Hamill, Kulas and Roob",Othello Bowes,Maighdiln Upcraft,pc,58-7865136
denmark,"58,948.52",49416.54,2020-05-20,clothing,Wisoky Inc,Modestia Byfford,Case Desorts,pc,98-9112505
portugal,"165,696.90",132275.84,2020-10-22,electronics,Franecki-White,Celine Tumasian,Aurelie Wren,pc,03-0455038
sweden,"177,993.88",145029.41,2019-12-02,outdoors,Johns and Sons,Maxie Marrow,Alyosha Meah,tablet,71-0122842
france,"108,713.83",90341.19,2020-03-09,clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,pc,55-1395838
finland,"25,816.05",21447.97,2019-09-08,clothing,Smith Group,Hube Corey,Mellicent Mattys,mobile,95-7886861
portugal,"154,072.89",121887.06,2020-09-30,beauty,"Rowe, Hermiston and Kessler",Celine Tumasian,Smitty Culverhouse,pc,19-3013452
finland,"194,962.05",154975.33,2020-07-05,appliances,"Rowe, Hermiston and Kessler",Hube Corey,Mellicent Mattys,pc,54-5082146
